stock,taxa,variable,year,mean,sd,lower,upper,status
Natantia,Natantia,b_div_bmsy,2018,0.722964430130589,0.17254974905782,0.545905808864008,0.951337888652825,overfished
Plesionika.edwardsii,Plesionika edwardsii,b_div_bmsy,2018,0.717170064499193,0.170113050301013,0.54152330368278,0.946361994796066,overfished
Aristeidae,Aristeidae,b_div_bmsy,2014,0.90727338863331,0.169156583222465,0.686384225694323,1.18122149126509,fully fished
Metapenaeus.monoceros,Metapenaeus monoceros,b_div_bmsy,2018,0.660413793167675,0.173963481663016,0.501669313120695,0.871291115290056,overfished
