Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Natantia,1951,1.4055029620027,0.129741284984451,1.4055029620027,0.129741284984451
Natantia,1952,1.36541488966251,0.133550440763653,1.36541488966251,0.133550440763653
Natantia,1953,1.241369011317,0.158195360957986,1.241369011317,0.158195360957986
Natantia,1954,1.24897227692737,0.196540410118697,1.24897227692737,0.196540410118697
Natantia,1955,1.17252971503434,0.215335312649734,1.17252971503434,0.215335312649734
Natantia,1956,1.35467454088549,0.1915593555425,1.35467454088549,0.1915593555425
Natantia,1957,1.80685886430644,0.240660087905991,1.80685886430644,0.240660087905991
Natantia,1958,2.0244158042299,0.211332712864598,2.0244158042299,0.211332712864598
Natantia,1959,2.05777358212808,0.197681950859572,2.05777358212808,0.197681950859572
Natantia,1960,2.15326153921078,0.211715758883752,2.15326153921078,0.211715758883752
Natantia,1961,2.12414592216843,0.28725759273198,2.12414592216843,0.28725759273198
Natantia,1962,2.6813662519024,0.214483716122835,2.6813662519024,0.214483716122835
Natantia,1963,2.78090861393264,0.209328319644062,2.78090861393264,0.209328319644062
Natantia,1964,2.60708477306945,0.215214459193104,2.60708477306945,0.215214459193104
Natantia,1965,1.90034241925864,0.221439962801127,1.90034241925864,0.221439962801127
Natantia,1966,1.44385059359613,0.213730761408,1.44385059359613,0.213730761408
Natantia,1967,1.28197262815079,0.273544422471437,1.28197262815079,0.273544422471437
Natantia,1968,0.932452986492413,0.255734066751573,0.932452986492413,0.255734066751573
Natantia,1969,0.694247587724905,0.232353954785509,0.694247587724905,0.232353954785509
Natantia,1970,0.476568265535404,0.144518345335214,0.476568265535404,0.144518345335214
Natantia,1971,0.484774095674868,0.138744512234577,0.484774095674868,0.138744512234577
Natantia,1972,0.781936533311127,0.239035454139351,0.781936533311127,0.239035454139351
Natantia,1973,0.917527322040328,0.201265096476366,0.917527322040328,0.201265096476366
Natantia,1974,0.783192100075042,0.208473707511618,0.783192100075042,0.208473707511618
Natantia,1975,0.646872885818081,0.196027088951413,0.646872885818081,0.196027088951413
